"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2105","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerovibrio",NA
"2106","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002",NA
"2107","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges","illinoisensis"
"2108","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"2109","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Sarcina",NA
"2110","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"2111","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA,NA
"2112","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"2113","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",NA
"2114","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum",NA
"2115","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"2116","Bacteria","Acidobacteria","Holophagae","Subgroup_7",NA,NA,NA
"2117","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","glucuronolyticum"
"2118","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"2119","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"2120","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus",NA
"2121","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium",NA
"2122","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus","alkaliphilus"
"2123","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum",NA
"2124","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"2125","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA
